id;movie_name;year;certificate;runtime_min;genre;rating;description;director;star;votes;gross_in_dollar;with_description
tt3704428;Elvis;2022;PG-13;159;Biography, Drama, Music;7.3;The life of American music icon Elvis Presley, from his childhood to becoming a rock and movie star in the 1950s while maintaining a complex relationship with his manager, Colonel Tom Parker.;Baz Luhrmann;"Tom Hanks, 
Austin Butler, 
Olivia DeJonge, 
Helen Thomson";189732.0;151040048.0;true
tt0993846;The Wolf of Wall Street;2013;R;180;Biography, Comedy, Crime;8.2;Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.;Martin Scorsese;"Leonardo DiCaprio, 
Jonah Hill, 
Margot Robbie, 
Matthew McConaughey";1437780.0;116900694.0;true
tt0264464;Catch Me If You Can;2002;PG-13;141;Biography, Crime, Drama;8.1;Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.;Steven Spielberg;"Leonardo DiCaprio, 
Tom Hanks, 
Christopher Walken, 
Martin Sheen";1003050.0;164615351.0;true
tt12374656;Emily;2022;R;130;Biography, Drama, Romance;6.9;"""Emily"" imagines the transformative, exhilarating, and uplifting journey to womanhood of a rebel and a misfit, one of the world's most famous, enigmatic, and provocative writers, who died, too soon, at age 30.";Frances O'Connor;"Emma Mackey, 
Oliver Jackson-Cohen, 
Fionn Whitehead, 
Alexandra Dowling";3888.0;;true
tt15398776;Oppenheimer;2023;;;Biography, Drama, History;;The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.;Christopher Nolan;"Cillian Murphy, 
Emily Blunt, 
Matt Damon, 
Robert Downey Jr.";;;true
tt1655389;Blonde;2022;NC-17;167;Biography, Drama, Romance;5.5;The story of American actress Marilyn Monroe, covering her love and professional lives.;Andrew Dominik;"Ana de Armas, 
Lily Fisher, 
Julianne Nicholson, 
Tygh Runyan";62265.0;;true
tt0099685;Goodfellas;1990;R;145;Biography, Crime, Drama;8.7;The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.;Martin Scorsese;"Robert De Niro, 
Ray Liotta, 
Joe Pesci, 
Lorraine Bracco";1175985.0;46836394.0;true
tt0108052;Schindler's List;1993;R;195;Biography, Drama, History;9.0;In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.;Steven Spielberg;"Liam Neeson, 
Ralph Fiennes, 
Ben Kingsley, 
Caroline Goodall";1369752.0;96898818.0;true
tt0082158;Chariots of Fire;1981;PG;125;Biography, Drama, Sport;7.1;Two British track athletes, one a determined Jew and the other a devout Christian, are driven to win in the 1924 Olympics as they wrestle with issues of pride and conscience.;Hugh Hudson;"Ben Cross, 
Ian Charleson, 
Nicholas Farrell, 
Nigel Havers";62532.0;58972904.0;true
tt2119532;Hacksaw Ridge;2016;R;139;Biography, Drama, History;8.1;World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.;Mel Gibson;"Andrew Garfield, 
Sam Worthington, 
Luke Bracey, 
Teresa Palmer";538844.0;67209615.0;true
tt6966692;Green Book;2018;PG-13;130;Biography, Comedy, Drama;8.2;A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.;Peter Farrelly;"Viggo Mortensen, 
Mahershala Ali, 
Linda Cardellini, 
Sebastian Maniscalco";506000.0;85080171.0;true
tt12193804;Whitney Houston: I Wanna Dance with Somebody;2022;PG-13;144;Biography, Drama, Music;6.7;A joyous, emotional, heartbreaking celebration of the life and music of Whitney Houston, one of the greatest female R&B pop vocalists of all time, tracking her journey from obscurity to musical superstardom.;Kasi Lemmons;"Naomi Ackie, 
Stanley Tucci, 
Ashton Sanders, 
Tamara Tunie";11152.0;;true
tt4846340;Hidden Figures;2016;PG;127;Biography, Drama, History;7.8;The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.;Theodore Melfi;"Taraji P. Henson, 
Octavia Spencer, 
Janelle Monáe, 
Kevin Costner";236635.0;169607287.0;true
tt17076046;Weird: The Al Yankovic Story;2022;TV-14;108;Biography, Comedy, Music;7.0;Explores every facet of Yankovic's life, from his meteoric rise to fame with early hits like 'Eat It' and 'Like a Surgeon' to his torrid celebrity love affairs and famously depraved lifestyle.;Eric Appel;"Diedrich Bader, 
Daniel Radcliffe, 
Lin-Manuel Miranda, 
Richard Aaron Anderson";26532.0;;true
tt2353868;True Spirit;2023;TV-PG;109;Adventure, Biography, Drama;6.8;The story of Australian teenager, Jessica Watson, the youngest person ever to sail solo, non-stop around the world.;Sarah Spillane;"Alyla Browne, 
Teagan Croft, 
Cliff Curtis, 
Josh Lawson";5423.0;;true
tt4273800;The Good Nurse;2022;R;121;Biography, Crime, Drama;6.8;An infamous caregiver is implicated in the deaths of hundreds of hospital patients.;Tobias Lindholm;"Eddie Redmayne, 
Jessica Chastain, 
Denise Pillott, 
Dartel McRae";63755.0;;true
tt1485796;The Greatest Showman;2017;PG;105;Biography, Drama, Musical;7.5;Celebrates the birth of show business and tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation.;Michael Gracey;"Hugh Jackman, 
Michelle Williams, 
Zac Efron, 
Zendaya";288430.0;174340174.0;true
tt3263904;Sully;2016;PG-13;96;Biography, Drama;7.4;"When pilot Chesley ""Sully"" Sullenberger lands his damaged plane on the Hudson River in order to save the flight's passengers and crew, some consider him a hero while others think he was reckless.";Clint Eastwood;"Tom Hanks, 
Aaron Eckhart, 
Laura Linney, 
Valerie Mahaffey";278841.0;125070033.0;true
tt1950186;Ford v Ferrari;2019;PG-13;152;Action, Biography, Drama;8.1;American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.;James Mangold;"Matt Damon, 
Christian Bale, 
Jon Bernthal, 
Caitríona Balfe";406637.0;117624028.0;true
tt1302006;The Irishman;2019;R;209;Biography, Crime, Drama;7.8;An illustration of Frank Sheeran's life, from WWII veteran, to hitman for the Bufalino crime family and his alleged assassination of close friend, Jimmy Hoffa.;Martin Scorsese;"Robert De Niro, 
Al Pacino, 
Joe Pesci, 
Harvey Keitel";397173.0;7000000.0;true
tt0112573;Braveheart;1995;R;178;Biography, Drama, History;8.4;Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.;Mel Gibson;"Mel Gibson, 
Sophie Marceau, 
Patrick McGoohan, 
Angus Macfadyen";1046887.0;75600000.0;true
tt0108358;Tombstone;1993;R;130;Biography, Drama, History;7.8;A successful lawman's plans to retire anonymously in Tombstone, Arizona are disrupted by the kind of outlaws he was famous for eliminating.;"George P. Cosmatos, 
Kevin Jarre";"Kurt Russell, 
Val Kilmer, 
Sam Elliott, 
Bill Paxton";153384.0;56505065.0;true
tt0195685;Erin Brockovich;2000;R;131;Biography, Drama;7.4;An unemployed single mother becomes a legal assistant and almost single-handedly brings down a California power company accused of polluting a city's water supply.;Steven Soderbergh;"Julia Roberts, 
Albert Finney, 
David Brisbin, 
Dawn Didawick";203401.0;125595205.0;true
tt15301048;Argentina, 1985;2022;R;140;Biography, Crime, Drama;7.6;A team of lawyers takes on the heads of Argentina's bloody military dictatorship during the 1980s in a battle against odds and a race against time.;Santiago Mitre;"Ricardo Darín, 
Gina Mastronicola, 
Francisco Bertín, 
Santiago Armas Estevarena";21752.0;;true
tt1285016;The Social Network;2010;PG-13;120;Biography, Drama;7.8;As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea and by the co-founder who was later squeezed out of the business.;David Fincher;"Jesse Eisenberg, 
Andrew Garfield, 
Justin Timberlake, 
Rooney Mara";714684.0;96962694.0;true
tt1596363;The Big Short;2015;R;130;Biography, Comedy, Drama;7.8;In 2006-2007 a group of investors bet against the United States mortgage market. In their research, they discover how flawed and corrupt the market is.;Adam McKay;"Christian Bale, 
Steve Carell, 
Ryan Gosling, 
Brad Pitt";440449.0;70259870.0;true
tt5208252;Operation Finale;2018;PG-13;122;Biography, Drama, History;6.6;A team of secret agents set out to track down the Nazi officer who masterminded the Holocaust.;Chris Weitz;"Oscar Isaac, 
Ben Kingsley, 
Mélanie Laurent, 
Lior Raz";44314.0;17612099.0;true
tt8503618;Hamilton;2020;PG-13;160;Biography, Drama, History;8.4;The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.;Thomas Kail;"Lin-Manuel Miranda, 
Phillipa Soo, 
Leslie Odom Jr., 
Renée Elise Goldsberry";98525.0;;true
tt7984766;The King;2019;R;140;Biography, Drama, History;7.3;Hal, wayward prince and heir to the English throne, is crowned King Henry V after his tyrannical father dies. Now the young king must navigate palace politics, the war his father left behind, and the emotional strings of his past life.;David Michôd;"Tom Glynn-Carney, 
Gábor Czap, 
Tom Fisher, 
Edward Ashley";135321.0;;true
tt1675434;The Intouchables;2011;R;112;Biography, Comedy, Drama;8.5;After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.;"Olivier Nakache, 
Éric Toledano";"François Cluzet, 
Omar Sy, 
Anne Le Ny, 
Audrey Fleurot";870382.0;13182281.0;true
tt0253474;The Pianist;2002;R;150;Biography, Drama, Music;8.5;A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.;Roman Polanski;"Adrien Brody, 
Thomas Kretschmann, 
Frank Finlay, 
Emilia Fox";843819.0;32572577.0;true
tt12758060;Tetris;2023;R;120;Biography, Drama, History;;The story of how one of the world's most popular video games found its way to players around the globe. Businessman Henk Rogers and Tetris inventor Alexey Pajitnov join forces in the USSR, risking it all to bring Tetris to the masses.;Jon S. Baird;"Taron Egerton, 
Toby Jones, 
Roger Allam, 
Mezi Atwood";;;true
tt14439896;Father Stu;2022;R;124;Biography, Drama;6.5;Follows the life of Father Stuart Long, a boxer-turned-priest who inspired countless people during his journey from self-destruction to redemption.;Rosalind Ross;"Mark Wahlberg, 
Mel Gibson, 
Jacki Weaver, 
Teresa Ruiz";23359.0;;true
tt0059742;The Sound of Music;1965;G;172;Biography, Drama, Family;8.1;A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.;Robert Wise;"Julie Andrews, 
Christopher Plummer, 
Eleanor Parker, 
Richard Haydn";240938.0;163214286.0;true
tt11214590;House of Gucci;2021;R;158;Biography, Crime, Drama;6.6;When Patrizia Reggiani, an outsider from humble beginnings, marries into the Gucci family, her unbridled ambition begins to unravel their legacy and triggers a reckless spiral of betrayal, decadence, revenge, and ultimately...murder.;Ridley Scott;"Lady Gaga, 
Adam Driver, 
Al Pacino, 
Jeremy Irons";141932.0;53809574.0;true
tt2084970;The Imitation Game;2014;PG-13;114;Biography, Drama, Thriller;8.0;During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians while attempting to come to terms with his troubled private life.;Morten Tyldum;"Benedict Cumberbatch, 
Keira Knightley, 
Matthew Goode, 
Allen Leech";781046.0;91125683.0;true
tt1210166;Moneyball;2011;PG-13;133;Biography, Drama, Sport;7.6;Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.;Bennett Miller;"Brad Pitt, 
Robin Wright, 
Jonah Hill, 
Philip Seymour Hoffman";432326.0;75605492.0;true
tt2024544;12 Years a Slave;2013;R;134;Biography, Drama, History;8.1;In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.;Steve McQueen;"Chiwetel Ejiofor, 
Michael Kenneth Williams, 
Michael Fassbender, 
Brad Pitt";709153.0;56671993.0;true
tt0268978;A Beautiful Mind;2001;PG-13;135;Biography, Drama;8.2;After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.;Ron Howard;"Russell Crowe, 
Ed Harris, 
Jennifer Connelly, 
Christopher Plummer";941682.0;170742341.0;true
tt0758758;Into the Wild;2007;R;148;Adventure, Biography, Drama;8.1;After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.;Sean Penn;"Emile Hirsch, 
Vince Vaughn, 
Catherine Keener, 
Marcia Gay Harden";629942.0;18354356.0;true
tt4960748;Till;2022;PG-13;130;Biography, Drama, History;7.1;In 1955, after Emmett Till is murdered in a brutal lynching, his mother vows to expose the racism behind the attack while working to have those involved brought to justice.;Chinonye Chukwu;"Danielle Deadwyler, 
Jalyn Hall, 
Frankie Faison, 
Haley Bennett";8614.0;;true
tt1727824;Bohemian Rhapsody;2018;PG-13;134;Biography, Drama, Music;7.9;The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).;Bryan Singer;"Rami Malek, 
Lucy Boynton, 
Gwilym Lee, 
Ben Hardy";548244.0;216428042.0;true
